freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.637e+02,3.520e+03,3.902e+02,4.074e+03
1.5,5.523e+02,1.000e+04,1.219e+03,1.178e+04
3.0,5.454e+02,1.035e+04,1.245e+03,1.214e+04
4.5,4.820e+02,9.916e+03,1.269e+03,1.167e+04
6.0,5.387e+02,8.532e+03,1.197e+03,1.027e+04
7.6,5.751e+02,1.278e+04,1.342e+03,1.470e+04
9.1,6.767e+02,2.248e+04,1.930e+03,2.509e+04
10.6,6.770e+02,2.531e+04,2.020e+03,2.800e+04
12.1,6.560e+02,2.675e+04,2.085e+03,2.950e+04
13.6,7.024e+02,2.658e+04,2.188e+03,2.947e+04
15.1,8.228e+02,2.957e+04,2.651e+03,3.305e+04
16.6,8.572e+02,3.583e+04,2.426e+03,3.912e+04
18.1,8.579e+02,3.853e+04,2.357e+03,4.174e+04
19.6,1.058e+03,4.248e+04,2.515e+03,4.605e+04
21.2,1.287e+03,6.163e+04,3.278e+03,6.619e+04
22.7,1.502e+03,7.853e+04,4.130e+03,8.417e+04
24.2,1.519e+03,9.020e+04,4.110e+03,9.583e+04
25.7,1.483e+03,7.199e+04,4.251e+03,7.772e+04
27.2,2.001e+03,1.206e+05,7.481e+03,1.301e+05
28.7,2.496e+03,1.759e+05,9.284e+03,1.877e+05
30.2,3.025e+03,3.200e+05,1.277e+04,3.358e+05
31.7,4.690e+03,4.391e+05,2.041e+04,4.642e+05
33.2,7.444e+03,7.365e+05,3.706e+04,7.810e+05
34.8,1.869e+04,2.235e+06,1.172e+05,2.371e+06
36.3,3.598e+04,3.471e+06,2.001e+05,3.707e+06
37.8,3.960e+04,2.439e+06,1.765e+05,2.655e+06
39.3,2.352e+04,8.717e+05,8.469e+04,9.799e+05
40.8,3.399e+04,7.511e+05,9.881e+04,8.839e+05
42.3,4.279e+04,6.289e+05,1.118e+05,7.835e+05
43.8,5.374e+04,5.170e+05,1.355e+05,7.062e+05
45.3,6.011e+04,4.678e+05,1.577e+05,6.856e+05
46.8,5.008e+04,3.546e+05,1.501e+05,5.548e+05
48.4,7.507e+04,5.225e+05,2.691e+05,8.667e+05
49.9,4.584e+04,3.209e+05,1.751e+05,5.419e+05
51.4,3.750e+04,1.298e+05,9.746e+04,2.648e+05
52.9,3.529e+04,1.023e+05,8.736e+04,2.250e+05
54.4,2.863e+04,6.605e+04,6.335e+04,1.580e+05
55.9,2.160e+04,5.140e+04,4.754e+04,1.205e+05
57.4,1.831e+04,3.794e+04,3.552e+04,9.177e+04
58.9,1.745e+04,2.892e+04,2.826e+04,7.463e+04
60.4,2.222e+04,2.664e+04,2.242e+04,7.128e+04
62.0,2.194e+04,2.325e+04,1.580e+04,6.099e+04
63.5,1.310e+04,1.794e+04,9.535e+03,4.058e+04
65.0,1.671e+04,1.723e+04,8.705e+03,4.264e+04
66.5,1.984e+04,1.699e+04,9.784e+03,4.661e+04
68.0,1.702e+04,1.726e+04,1.280e+04,4.708e+04
