freq,psd_x,psd_y,psd_z,psd_xyz
165.4,2.000e+03,1.543e+03,2.062e+02,3.749e+03
166.9,1.976e+03,1.306e+03,2.021e+02,3.484e+03
168.5,2.361e+03,9.951e+02,1.835e+02,3.539e+03
170.1,2.741e+03,8.078e+02,1.738e+02,3.723e+03
171.6,2.771e+03,6.979e+02,1.530e+02,3.622e+03
173.2,2.616e+03,6.381e+02,1.483e+02,3.402e+03
174.7,2.342e+03,5.688e+02,1.488e+02,3.059e+03
176.3,1.877e+03,4.710e+02,1.316e+02,2.479e+03
177.9,1.582e+03,4.788e+02,1.220e+02,2.183e+03
179.4,1.771e+03,5.700e+02,1.447e+02,2.486e+03
181.0,1.689e+03,5.860e+02,1.445e+02,2.419e+03
182.5,1.214e+03,3.968e+02,1.177e+02,1.728e+03
184.1,7.723e+02,2.402e+02,8.971e+01,1.102e+03
185.7,5.843e+02,1.922e+02,6.843e+01,8.449e+02
187.2,4.728e+02,1.819e+02,6.227e+01,7.170e+02
188.8,4.696e+02,1.528e+02,5.452e+01,6.770e+02
190.3,5.453e+02,1.448e+02,5.383e+01,7.440e+02
191.9,6.543e+02,1.833e+02,5.960e+01,8.972e+02
193.5,7.739e+02,2.065e+02,6.259e+01,1.043e+03
195.0,9.842e+02,2.324e+02,5.773e+01,1.274e+03
196.6,1.308e+03,2.828e+02,6.644e+01,1.657e+03
198.1,1.887e+03,4.337e+02,8.558e+01,2.406e+03
199.7,2.537e+03,8.679e+02,1.213e+02,3.526e+03
