freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.564e+03,3.212e+01,1.287e+01,1.609e+03
1.5,4.566e+03,1.152e+02,5.671e+01,4.738e+03
3.0,5.143e+03,1.390e+02,6.188e+01,5.344e+03
4.5,5.842e+03,1.405e+02,6.440e+01,6.047e+03
6.0,5.509e+03,1.372e+02,6.532e+01,5.712e+03
7.5,6.874e+03,1.379e+02,6.896e+01,7.081e+03
9.1,6.472e+03,1.157e+02,5.823e+01,6.646e+03
10.6,7.630e+03,1.178e+02,5.625e+01,7.804e+03
12.1,9.987e+03,1.445e+02,7.405e+01,1.021e+04
13.6,1.285e+04,1.667e+02,7.334e+01,1.309e+04
15.1,1.323e+04,1.888e+02,7.242e+01,1.350e+04
16.6,1.309e+04,1.939e+02,8.186e+01,1.336e+04
18.1,1.706e+04,1.920e+02,7.885e+01,1.734e+04
19.6,1.889e+04,2.578e+02,8.908e+01,1.924e+04
21.1,2.428e+04,4.052e+02,9.837e+01,2.478e+04
22.6,2.550e+04,4.465e+02,1.052e+02,2.606e+04
24.1,2.996e+04,5.866e+02,1.117e+02,3.066e+04
25.7,3.109e+04,6.482e+02,1.140e+02,3.185e+04
27.2,3.766e+04,6.425e+02,1.253e+02,3.843e+04
28.7,4.490e+04,8.264e+02,1.482e+02,4.587e+04
30.2,4.632e+04,8.319e+02,1.541e+02,4.731e+04
31.7,5.775e+04,1.057e+03,1.928e+02,5.900e+04
33.2,7.515e+04,1.809e+03,2.499e+02,7.721e+04
34.7,8.342e+04,2.358e+03,3.178e+02,8.610e+04
36.2,9.274e+04,3.640e+03,4.430e+02,9.682e+04
37.7,1.043e+05,8.479e+03,8.004e+02,1.136e+05
39.2,1.421e+05,1.365e+04,1.192e+03,1.570e+05
40.7,1.386e+05,1.172e+04,9.420e+02,1.512e+05
42.3,1.105e+05,9.290e+03,7.745e+02,1.205e+05
43.8,1.661e+05,1.318e+04,1.093e+03,1.804e+05
45.3,1.661e+05,9.970e+03,8.600e+02,1.769e+05
46.8,2.122e+05,7.487e+03,7.254e+02,2.204e+05
48.3,3.875e+05,7.476e+03,1.129e+03,3.961e+05
49.8,5.031e+05,7.309e+03,1.673e+03,5.120e+05
51.3,5.650e+05,7.375e+03,1.689e+03,5.741e+05
52.8,6.420e+05,7.692e+03,1.562e+03,6.513e+05
54.3,9.490e+05,9.815e+03,1.774e+03,9.606e+05
55.8,1.223e+06,1.106e+04,3.028e+03,1.237e+06
57.3,1.558e+06,1.341e+04,4.166e+03,1.575e+06
58.9,1.334e+06,1.181e+04,3.467e+03,1.349e+06
60.4,7.769e+05,6.589e+03,1.797e+03,7.852e+05
61.9,5.892e+05,4.659e+03,1.365e+03,5.952e+05
63.4,3.299e+05,2.193e+03,1.188e+03,3.333e+05
64.9,2.696e+05,1.409e+03,1.319e+03,2.724e+05
66.4,3.492e+05,1.290e+03,1.548e+03,3.520e+05
67.9,3.207e+05,1.085e+03,2.000e+03,3.238e+05
69.4,2.017e+05,8.074e+02,3.175e+03,2.057e+05
70.9,1.700e+05,9.088e+02,6.895e+03,1.778e+05
72.4,1.326e+05,1.316e+03,1.546e+04,1.494e+05
73.9,1.405e+05,2.484e+03,3.949e+04,1.824e+05
75.5,1.341e+05,2.732e+03,4.807e+04,1.849e+05
77.0,1.131e+05,1.378e+03,2.534e+04,1.398e+05
78.5,1.116e+05,8.734e+02,1.514e+04,1.276e+05
80.0,1.411e+05,6.689e+02,8.126e+03,1.499e+05
81.5,1.730e+05,6.436e+02,7.898e+03,1.815e+05
83.0,1.565e+05,5.841e+02,7.285e+03,1.644e+05
84.5,1.800e+05,6.120e+02,7.117e+03,1.877e+05
86.0,1.731e+05,6.219e+02,5.965e+03,1.797e+05
87.5,1.376e+05,5.925e+02,4.024e+03,1.422e+05
89.0,1.349e+05,7.004e+02,3.512e+03,1.391e+05
90.5,1.115e+05,7.859e+02,2.536e+03,1.148e+05
92.1,8.169e+04,7.928e+02,1.434e+03,8.391e+04
93.6,1.106e+05,1.282e+03,1.119e+03,1.130e+05
95.1,1.101e+05,1.469e+03,1.067e+03,1.127e+05
96.6,9.614e+04,1.444e+03,1.168e+03,9.876e+04
98.1,7.768e+04,1.230e+03,1.116e+03,8.002e+04
99.6,7.985e+04,1.352e+03,1.276e+03,8.247e+04
101.1,8.560e+04,1.466e+03,1.320e+03,8.838e+04
102.6,7.873e+04,1.340e+03,1.078e+03,8.115e+04
104.1,1.049e+05,2.002e+03,1.284e+03,1.082e+05
105.6,9.369e+04,1.968e+03,9.270e+02,9.658e+04
107.1,1.252e+05,2.322e+03,9.618e+02,1.285e+05
108.7,9.189e+04,1.861e+03,6.145e+02,9.437e+04
110.2,9.904e+04,2.007e+03,5.214e+02,1.016e+05
111.7,1.125e+05,2.114e+03,4.682e+02,1.151e+05
113.2,1.234e+05,2.046e+03,4.448e+02,1.259e+05
114.7,9.574e+04,1.468e+03,3.350e+02,9.754e+04
116.2,1.033e+05,1.368e+03,3.184e+02,1.049e+05
