freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.387e+02,1.774e+01,1.636e+01,9.728e+02
1.5,3.508e+03,8.443e+01,7.354e+01,3.666e+03
3.0,5.150e+03,9.925e+01,7.528e+01,5.325e+03
4.5,4.178e+03,9.535e+01,6.647e+01,4.340e+03
6.0,5.148e+03,1.178e+02,8.657e+01,5.352e+03
7.5,6.031e+03,1.232e+02,9.199e+01,6.246e+03
9.0,6.198e+03,1.066e+02,7.126e+01,6.375e+03
10.5,6.552e+03,1.015e+02,7.564e+01,6.730e+03
12.1,8.055e+03,1.067e+02,7.690e+01,8.238e+03
13.6,1.020e+04,1.031e+02,7.650e+01,1.038e+04
15.1,1.175e+04,1.154e+02,7.580e+01,1.194e+04
16.6,1.282e+04,1.377e+02,7.603e+01,1.304e+04
18.1,1.636e+04,1.787e+02,7.911e+01,1.662e+04
19.6,1.879e+04,2.433e+02,8.202e+01,1.912e+04
21.1,2.133e+04,3.501e+02,9.280e+01,2.177e+04
22.6,2.418e+04,5.040e+02,1.068e+02,2.479e+04
24.1,2.679e+04,5.128e+02,1.179e+02,2.742e+04
25.6,2.936e+04,5.226e+02,1.461e+02,3.003e+04
27.1,3.804e+04,4.858e+02,1.599e+02,3.868e+04
28.6,4.398e+04,5.189e+02,1.632e+02,4.467e+04
30.1,3.767e+04,5.470e+02,1.898e+02,3.841e+04
31.6,6.068e+04,6.942e+02,2.251e+02,6.160e+04
33.1,6.455e+04,8.089e+02,2.589e+02,6.562e+04
34.6,8.965e+04,1.143e+03,2.751e+02,9.106e+04
36.2,9.906e+04,1.252e+03,2.953e+02,1.006e+05
37.7,1.119e+05,2.013e+03,3.876e+02,1.143e+05
39.2,1.178e+05,4.313e+03,5.407e+02,1.227e+05
40.7,1.184e+05,4.750e+03,6.389e+02,1.238e+05
42.2,1.301e+05,3.481e+03,6.475e+02,1.343e+05
43.7,1.670e+05,3.613e+03,7.761e+02,1.714e+05
45.2,1.525e+05,2.974e+03,7.045e+02,1.562e+05
46.7,1.730e+05,3.130e+03,1.034e+03,1.772e+05
48.2,2.773e+05,4.191e+03,1.873e+03,2.833e+05
49.7,2.888e+05,4.691e+03,2.719e+03,2.962e+05
51.2,3.235e+05,6.193e+03,3.921e+03,3.336e+05
52.7,4.332e+05,8.694e+03,4.959e+03,4.468e+05
54.2,9.508e+05,1.586e+04,7.126e+03,9.738e+05
55.7,1.439e+06,2.106e+04,8.058e+03,1.468e+06
57.2,9.507e+05,1.252e+04,4.366e+03,9.676e+05
58.7,6.275e+05,8.289e+03,2.094e+03,6.379e+05
60.3,6.855e+05,8.158e+03,1.581e+03,6.953e+05
61.8,6.636e+05,7.141e+03,1.503e+03,6.723e+05
63.3,5.003e+05,5.113e+03,1.438e+03,5.068e+05
64.8,4.140e+05,3.737e+03,1.638e+03,4.193e+05
66.3,3.798e+05,2.938e+03,2.115e+03,3.849e+05
67.8,3.184e+05,2.097e+03,3.204e+03,3.237e+05
69.3,2.331e+05,1.270e+03,4.392e+03,2.388e+05
70.8,1.738e+05,9.009e+02,6.955e+03,1.816e+05
72.3,1.463e+05,8.211e+02,1.124e+04,1.583e+05
73.8,1.572e+05,1.361e+03,3.167e+04,1.902e+05
75.3,1.256e+05,1.681e+03,3.546e+04,1.627e+05
76.8,1.171e+05,1.602e+03,2.791e+04,1.466e+05
78.3,9.285e+04,8.951e+02,1.305e+04,1.068e+05
79.8,6.872e+04,4.878e+02,5.529e+03,7.474e+04
81.3,8.664e+04,4.454e+02,4.857e+03,9.194e+04
82.8,1.431e+05,4.366e+02,5.402e+03,1.489e+05
84.4,1.366e+05,4.295e+02,4.728e+03,1.417e+05
85.9,9.938e+04,4.411e+02,3.038e+03,1.029e+05
87.4,7.661e+04,4.255e+02,1.997e+03,7.903e+04
88.9,7.236e+04,4.417e+02,1.541e+03,7.435e+04
90.4,8.343e+04,4.626e+02,1.570e+03,8.546e+04
91.9,1.160e+05,5.171e+02,1.647e+03,1.181e+05
93.4,1.596e+05,5.581e+02,2.051e+03,1.622e+05
94.9,1.053e+05,6.435e+02,1.508e+03,1.074e+05
96.4,9.553e+04,9.447e+02,1.557e+03,9.803e+04
97.9,8.545e+04,1.196e+03,1.438e+03,8.809e+04
99.4,7.752e+04,1.476e+03,1.252e+03,8.025e+04
100.9,5.977e+04,1.288e+03,9.122e+02,6.197e+04
102.4,7.610e+04,2.019e+03,9.584e+02,7.908e+04
103.9,8.495e+04,2.575e+03,9.585e+02,8.848e+04
105.4,5.385e+04,1.824e+03,5.602e+02,5.623e+04
106.9,5.091e+04,2.069e+03,5.301e+02,5.351e+04
108.5,9.849e+04,2.976e+03,6.183e+02,1.021e+05
110.0,1.279e+05,3.349e+03,5.965e+02,1.319e+05
111.5,1.187e+05,3.112e+03,4.403e+02,1.222e+05
113.0,1.165e+05,3.034e+03,4.037e+02,1.200e+05
114.5,6.554e+04,1.995e+03,2.893e+02,6.783e+04
116.0,4.086e+04,1.233e+03,2.214e+02,4.232e+04
117.5,4.275e+04,1.026e+03,2.116e+02,4.399e+04
119.0,4.711e+04,1.255e+03,2.014e+02,4.857e+04
120.5,4.315e+04,1.269e+03,1.766e+02,4.460e+04
122.0,5.515e+04,1.230e+03,1.977e+02,5.658e+04
123.5,5.175e+04,1.258e+03,1.970e+02,5.320e+04
125.0,2.398e+04,9.518e+02,1.434e+02,2.507e+04
126.5,2.538e+04,8.156e+02,1.544e+02,2.635e+04
128.0,2.248e+04,6.412e+02,1.469e+02,2.327e+04
129.5,1.762e+04,4.149e+02,1.215e+02,1.815e+04
131.0,1.352e+04,3.499e+02,1.099e+02,1.398e+04
132.6,1.143e+04,3.189e+02,1.098e+02,1.186e+04
134.1,9.459e+03,2.653e+02,9.896e+01,9.823e+03
135.6,7.673e+03,2.605e+02,1.081e+02,8.042e+03
137.1,6.252e+03,2.483e+02,1.126e+02,6.613e+03
138.6,6.519e+03,2.745e+02,1.015e+02,6.895e+03
140.1,5.658e+03,2.725e+02,9.695e+01,6.028e+03
141.6,6.072e+03,3.026e+02,1.193e+02,6.494e+03
143.1,5.408e+03,3.015e+02,1.253e+02,5.835e+03
144.6,5.269e+03,3.077e+02,1.179e+02,5.695e+03
146.1,4.333e+03,3.133e+02,1.196e+02,4.766e+03
147.6,4.154e+03,3.380e+02,1.402e+02,4.632e+03
149.1,4.517e+03,4.180e+02,1.501e+02,5.085e+03
150.6,5.073e+03,5.801e+02,2.102e+02,5.864e+03
152.1,4.817e+03,5.822e+02,2.379e+02,5.637e+03
153.6,5.135e+03,5.858e+02,2.322e+02,5.953e+03
155.2,6.775e+03,7.744e+02,3.377e+02,7.887e+03
156.7,6.404e+03,6.542e+02,3.048e+02,7.363e+03
158.2,6.175e+03,6.859e+02,3.041e+02,7.165e+03
159.7,5.796e+03,7.445e+02,3.606e+02,6.901e+03
161.2,5.411e+03,7.987e+02,3.946e+02,6.604e+03
162.7,6.163e+03,1.045e+03,5.184e+02,7.726e+03
164.2,8.544e+03,1.908e+03,1.018e+03,1.147e+04
165.7,7.388e+03,1.687e+03,8.491e+02,9.924e+03
167.2,9.230e+03,2.301e+03,9.609e+02,1.249e+04
168.7,1.026e+04,2.091e+03,7.929e+02,1.314e+04
170.2,1.595e+04,2.914e+03,1.046e+03,1.991e+04
171.7,1.561e+04,3.256e+03,1.188e+03,2.006e+04
173.2,1.409e+04,3.822e+03,1.434e+03,1.935e+04
174.7,1.195e+04,3.244e+03,1.182e+03,1.638e+04
176.2,1.154e+04,3.277e+03,1.094e+03,1.591e+04
177.7,1.320e+04,3.808e+03,1.185e+03,1.819e+04
179.3,1.062e+04,3.723e+03,1.133e+03,1.548e+04
180.8,8.440e+03,3.527e+03,1.178e+03,1.314e+04
182.3,8.078e+03,5.282e+03,1.926e+03,1.529e+04
183.8,9.506e+03,7.616e+03,2.688e+03,1.981e+04
185.3,8.028e+03,6.701e+03,2.319e+03,1.705e+04
186.8,9.059e+03,9.393e+03,3.282e+03,2.173e+04
188.3,8.868e+03,8.742e+03,3.081e+03,2.069e+04
189.8,1.014e+04,8.348e+03,2.885e+03,2.137e+04
191.3,1.269e+04,1.152e+04,3.933e+03,2.813e+04
192.8,1.292e+04,1.177e+04,4.006e+03,2.870e+04
194.3,1.166e+04,1.057e+04,3.534e+03,2.577e+04
195.8,1.035e+04,9.202e+03,2.881e+03,2.243e+04
197.3,1.201e+04,9.838e+03,2.706e+03,2.456e+04
198.8,1.166e+04,1.088e+04,2.776e+03,2.532e+04
