freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.907e+02,2.511e+03,1.611e+02,2.963e+03
1.5,9.190e+02,6.832e+03,4.760e+02,8.227e+03
3.0,8.934e+02,7.476e+03,4.608e+02,8.830e+03
4.5,1.217e+03,1.071e+04,5.489e+02,1.248e+04
6.0,1.407e+03,1.411e+04,5.931e+02,1.611e+04
7.5,1.441e+03,1.625e+04,5.593e+02,1.825e+04
9.0,1.683e+03,2.176e+04,6.315e+02,2.407e+04
10.5,1.761e+03,2.658e+04,7.359e+02,2.907e+04
12.0,1.834e+03,2.708e+04,7.754e+02,2.969e+04
13.5,2.261e+03,3.272e+04,6.655e+02,3.564e+04
15.1,2.597e+03,3.661e+04,6.637e+02,3.987e+04
16.6,2.244e+03,3.261e+04,7.900e+02,3.564e+04
18.1,2.259e+03,3.828e+04,8.200e+02,4.136e+04
19.6,2.982e+03,5.595e+04,1.037e+03,5.997e+04
21.1,3.159e+03,6.735e+04,1.139e+03,7.165e+04
22.6,3.366e+03,8.181e+04,1.196e+03,8.637e+04
24.1,4.459e+03,1.056e+05,1.534e+03,1.116e+05
25.6,4.794e+03,9.472e+04,1.721e+03,1.012e+05
27.1,6.711e+03,1.385e+05,2.050e+03,1.472e+05
28.6,8.649e+03,1.892e+05,2.432e+03,2.003e+05
30.1,1.366e+04,3.154e+05,3.373e+03,3.324e+05
31.6,2.290e+04,5.540e+05,5.060e+03,5.820e+05
33.1,5.021e+04,1.193e+06,8.213e+03,1.251e+06
34.6,9.796e+04,2.203e+06,1.286e+04,2.313e+06
36.1,1.661e+05,3.406e+06,2.178e+04,3.594e+06
37.6,1.554e+05,2.560e+06,2.869e+04,2.744e+06
39.1,1.420e+05,1.994e+06,3.009e+04,2.166e+06
40.6,1.363e+05,1.365e+06,3.680e+04,1.538e+06
42.2,1.439e+05,1.029e+06,4.971e+04,1.223e+06
43.7,1.311e+05,6.407e+05,5.338e+04,8.251e+05
45.2,1.451e+05,5.741e+05,6.192e+04,7.811e+05
46.7,2.234e+05,6.719e+05,1.003e+05,9.957e+05
48.2,2.120e+05,5.222e+05,9.788e+04,8.321e+05
49.7,2.109e+05,4.237e+05,1.035e+05,7.382e+05
51.2,1.703e+05,2.802e+05,9.947e+04,5.500e+05
52.7,9.610e+04,1.240e+05,6.861e+04,2.887e+05
54.2,5.944e+04,7.351e+04,4.393e+04,1.769e+05
55.7,3.261e+04,4.789e+04,3.104e+04,1.115e+05
57.2,3.233e+04,3.951e+04,3.574e+04,1.076e+05
58.7,2.764e+04,3.279e+04,2.833e+04,8.876e+04
60.2,1.822e+04,2.800e+04,1.584e+04,6.206e+04
61.7,1.408e+04,2.626e+04,1.289e+04,5.323e+04
63.2,1.234e+04,2.325e+04,1.150e+04,4.709e+04
64.7,9.019e+03,2.062e+04,7.442e+03,3.708e+04
66.2,8.647e+03,2.209e+04,6.772e+03,3.751e+04
67.7,1.038e+04,1.728e+04,6.654e+03,3.432e+04
69.3,1.428e+04,1.469e+04,5.326e+03,3.430e+04
70.8,1.955e+04,1.148e+04,4.321e+03,3.535e+04
72.3,3.632e+04,1.203e+04,4.766e+03,5.312e+04
73.8,7.950e+04,1.198e+04,3.594e+03,9.508e+04
75.3,9.095e+04,1.161e+04,3.469e+03,1.060e+05
76.8,7.276e+04,1.127e+04,4.934e+03,8.896e+04
78.3,5.050e+04,8.553e+03,5.276e+03,6.433e+04
79.8,3.948e+04,6.785e+03,3.783e+03,5.005e+04
81.3,2.961e+04,5.704e+03,4.076e+03,3.939e+04
82.8,3.334e+04,6.647e+03,5.908e+03,4.589e+04
84.3,2.337e+04,5.258e+03,5.854e+03,3.448e+04
85.8,1.575e+04,5.515e+03,5.886e+03,2.715e+04
87.3,1.048e+04,4.992e+03,5.985e+03,2.146e+04
88.8,7.895e+03,4.554e+03,6.389e+03,1.884e+04
90.3,5.832e+03,5.709e+03,5.429e+03,1.697e+04
91.8,5.923e+03,4.967e+03,4.576e+03,1.547e+04
93.3,5.587e+03,3.904e+03,6.562e+03,1.605e+04
94.8,4.173e+03,3.784e+03,6.428e+03,1.438e+04
96.3,4.443e+03,4.341e+03,7.536e+03,1.632e+04
97.9,3.493e+03,4.631e+03,9.088e+03,1.721e+04
99.4,3.336e+03,5.055e+03,1.159e+04,1.998e+04
100.9,3.123e+03,5.048e+03,1.294e+04,2.111e+04
102.4,2.562e+03,5.259e+03,1.786e+04,2.568e+04
103.9,2.600e+03,4.910e+03,1.796e+04,2.547e+04
105.4,2.921e+03,5.185e+03,1.312e+04,2.122e+04
106.9,2.417e+03,5.654e+03,9.897e+03,1.797e+04
108.4,2.222e+03,5.498e+03,8.334e+03,1.605e+04
109.9,2.272e+03,4.959e+03,6.464e+03,1.370e+04
111.4,2.053e+03,5.222e+03,6.695e+03,1.397e+04
112.9,1.978e+03,4.404e+03,7.086e+03,1.347e+04
114.4,2.010e+03,4.055e+03,6.015e+03,1.208e+04
115.9,1.724e+03,4.357e+03,7.077e+03,1.316e+04
117.4,1.388e+03,4.281e+03,5.681e+03,1.135e+04
118.9,1.541e+03,4.440e+03,4.745e+03,1.073e+04
120.4,1.429e+03,4.350e+03,6.093e+03,1.187e+04
121.9,1.188e+03,3.802e+03,7.841e+03,1.283e+04
123.4,1.329e+03,3.954e+03,6.719e+03,1.200e+04
125.0,1.138e+03,3.558e+03,7.262e+03,1.196e+04
126.5,1.072e+03,3.371e+03,5.780e+03,1.022e+04
128.0,1.098e+03,3.836e+03,6.348e+03,1.128e+04
129.5,8.049e+02,2.783e+03,5.343e+03,8.931e+03
131.0,6.973e+02,2.282e+03,4.823e+03,7.802e+03
132.5,5.540e+02,2.196e+03,4.527e+03,7.277e+03
134.0,5.745e+02,2.256e+03,4.751e+03,7.582e+03
135.5,7.682e+02,2.860e+03,5.271e+03,8.899e+03
137.0,7.114e+02,3.100e+03,5.532e+03,9.343e+03
138.5,5.894e+02,2.769e+03,4.868e+03,8.227e+03
140.0,5.361e+02,3.005e+03,4.231e+03,7.772e+03
141.5,5.187e+02,2.744e+03,4.520e+03,7.783e+03
143.0,5.721e+02,3.556e+03,6.188e+03,1.032e+04
144.5,7.128e+02,4.690e+03,8.682e+03,1.408e+04
146.0,7.411e+02,3.820e+03,6.300e+03,1.086e+04
147.5,5.854e+02,3.512e+03,4.743e+03,8.840e+03
149.0,4.791e+02,2.133e+03,3.166e+03,5.778e+03
150.5,4.862e+02,1.891e+03,3.001e+03,5.379e+03
152.1,4.665e+02,2.135e+03,3.328e+03,5.929e+03
153.6,4.966e+02,2.253e+03,3.926e+03,6.676e+03
155.1,6.154e+02,2.125e+03,4.149e+03,6.890e+03
156.6,9.369e+02,2.558e+03,4.451e+03,7.946e+03
158.1,1.039e+03,2.817e+03,3.957e+03,7.813e+03
159.6,8.666e+02,2.669e+03,2.607e+03,6.143e+03
161.1,9.484e+02,3.015e+03,2.675e+03,6.638e+03
162.6,8.384e+02,2.845e+03,2.603e+03,6.286e+03
164.1,1.081e+03,3.690e+03,2.772e+03,7.543e+03
165.6,1.346e+03,4.606e+03,3.274e+03,9.226e+03
167.1,1.707e+03,5.500e+03,2.992e+03,1.020e+04
168.6,2.161e+03,6.842e+03,3.000e+03,1.200e+04
170.1,2.266e+03,7.412e+03,3.232e+03,1.291e+04
171.6,2.434e+03,8.153e+03,4.297e+03,1.488e+04
173.1,3.010e+03,1.010e+04,5.285e+03,1.840e+04
174.6,2.122e+03,7.900e+03,4.160e+03,1.418e+04
176.1,1.349e+03,4.625e+03,2.794e+03,8.768e+03
177.6,1.824e+03,6.948e+03,3.492e+03,1.226e+04
179.2,1.870e+03,8.028e+03,3.797e+03,1.369e+04
180.7,2.228e+03,9.639e+03,4.597e+03,1.646e+04
182.2,3.368e+03,1.306e+04,6.094e+03,2.252e+04
183.7,3.237e+03,1.439e+04,8.132e+03,2.576e+04
185.2,2.713e+03,1.160e+04,6.554e+03,2.087e+04
186.7,1.639e+03,8.778e+03,4.703e+03,1.512e+04
188.2,1.989e+03,9.727e+03,5.499e+03,1.721e+04
189.7,2.256e+03,1.026e+04,6.789e+03,1.931e+04
191.2,2.090e+03,8.569e+03,5.897e+03,1.656e+04
192.7,1.576e+03,8.167e+03,5.071e+03,1.481e+04
194.2,1.697e+03,8.690e+03,5.674e+03,1.606e+04
195.7,1.943e+03,1.013e+04,6.564e+03,1.863e+04
197.2,1.802e+03,8.556e+03,6.639e+03,1.700e+04
198.7,1.631e+03,8.629e+03,6.246e+03,1.651e+04
