freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.583e+02,4.079e+01,1.051e+01,2.096e+02
1.6,1.010e+02,5.289e+01,1.934e+01,1.732e+02
3.1,3.326e+01,3.702e+01,2.121e+01,9.150e+01
4.7,3.468e+02,3.848e+01,2.223e+01,4.075e+02
6.2,9.309e+02,4.495e+01,2.104e+01,9.968e+02
7.8,1.493e+03,5.051e+01,2.250e+01,1.566e+03
9.4,2.169e+03,7.499e+01,2.312e+01,2.267e+03
10.9,2.899e+03,1.101e+02,2.439e+01,3.034e+03
12.5,3.691e+03,1.849e+02,3.287e+01,3.908e+03
14.0,4.707e+03,2.894e+02,5.113e+01,5.048e+03
15.6,5.842e+03,3.504e+02,3.791e+01,6.230e+03
17.2,6.411e+03,4.479e+02,3.099e+01,6.890e+03
18.7,6.781e+03,5.993e+02,3.449e+01,7.415e+03
20.3,7.339e+03,9.383e+02,4.227e+01,8.320e+03
21.9,8.636e+03,1.503e+03,4.973e+01,1.019e+04
23.4,1.066e+04,2.779e+03,6.677e+01,1.350e+04
25.0,1.187e+04,3.460e+03,1.220e+02,1.545e+04
26.5,1.291e+04,2.930e+03,2.355e+02,1.607e+04
28.1,1.596e+04,4.574e+03,4.097e+02,2.094e+04
29.7,1.909e+04,7.790e+03,6.859e+02,2.756e+04
31.2,1.789e+04,8.205e+03,6.994e+02,2.679e+04
32.8,1.816e+04,9.198e+03,7.411e+02,2.810e+04
34.3,2.156e+04,1.601e+04,1.293e+03,3.886e+04
35.9,2.328e+04,2.653e+04,2.302e+03,5.211e+04
37.5,2.038e+04,2.675e+04,2.345e+03,4.947e+04
39.0,1.940e+04,2.130e+04,1.868e+03,4.257e+04
40.6,2.313e+04,2.880e+04,2.750e+03,5.468e+04
42.1,2.386e+04,5.460e+04,5.861e+03,8.432e+04
43.7,1.663e+04,7.035e+04,8.105e+03,9.508e+04
45.3,1.108e+04,6.674e+04,7.529e+03,8.535e+04
46.8,1.141e+04,5.716e+04,5.949e+03,7.452e+04
48.4,1.552e+04,4.713e+04,4.451e+03,6.710e+04
49.9,2.296e+04,3.913e+04,3.309e+03,6.540e+04
51.5,3.183e+04,3.188e+04,2.385e+03,6.610e+04
53.1,4.273e+04,2.747e+04,1.997e+03,7.220e+04
54.6,5.686e+04,2.865e+04,2.288e+03,8.780e+04
56.2,7.353e+04,2.928e+04,2.210e+03,1.050e+05
57.7,8.662e+04,2.577e+04,1.692e+03,1.141e+05
59.3,9.096e+04,2.060e+04,1.210e+03,1.128e+05
60.9,1.042e+05,1.796e+04,9.880e+02,1.231e+05
62.4,1.399e+05,1.983e+04,1.084e+03,1.608e+05
64.0,1.923e+05,2.559e+04,1.608e+03,2.195e+05
65.6,3.305e+05,4.016e+04,1.653e+03,3.724e+05
67.1,5.812e+05,6.302e+04,1.756e+03,6.460e+05
68.7,6.196e+05,6.165e+04,2.864e+03,6.841e+05
70.2,5.385e+05,4.939e+04,3.739e+03,5.917e+05
71.8,5.313e+05,4.514e+04,4.018e+03,5.805e+05
73.4,4.254e+05,3.292e+04,4.401e+03,4.627e+05
74.9,2.871e+05,1.925e+04,4.781e+03,3.112e+05
76.5,2.411e+05,1.290e+04,4.779e+03,2.588e+05
78.0,2.283e+05,9.638e+03,4.127e+03,2.420e+05
79.6,1.889e+05,6.266e+03,3.713e+03,1.989e+05
81.2,1.464e+05,3.304e+03,4.353e+03,1.541e+05
82.7,1.254e+05,1.698e+03,6.454e+03,1.335e+05
84.3,1.209e+05,1.055e+03,1.091e+04,1.329e+05
85.8,1.035e+05,7.581e+02,1.475e+04,1.190e+05
87.4,6.879e+04,6.856e+02,1.637e+04,8.585e+04
89.0,5.422e+04,1.668e+03,3.411e+04,8.999e+04
90.5,4.478e+04,4.676e+03,6.746e+04,1.169e+05
92.1,4.477e+04,8.875e+03,9.548e+04,1.491e+05
93.6,6.256e+04,1.223e+04,9.777e+04,1.726e+05
95.2,1.057e+05,1.019e+04,4.479e+04,1.606e+05
96.8,1.247e+05,8.374e+03,2.016e+04,1.532e+05
98.3,1.159e+05,7.466e+03,1.792e+04,1.413e+05
99.9,1.079e+05,6.208e+03,1.459e+04,1.287e+05
101.4,9.552e+04,4.638e+03,1.067e+04,1.108e+05
103.0,8.077e+04,3.186e+03,7.704e+03,9.166e+04
104.6,7.795e+04,1.851e+03,8.715e+03,8.852e+04
106.1,7.591e+04,1.032e+03,8.623e+03,8.557e+04
107.7,7.244e+04,6.786e+02,8.072e+03,8.119e+04
109.3,7.151e+04,6.703e+02,7.595e+03,7.977e+04
110.8,7.179e+04,1.018e+03,6.542e+03,7.935e+04
112.4,7.165e+04,1.573e+03,5.074e+03,7.829e+04
113.9,7.481e+04,2.187e+03,3.732e+03,8.073e+04
115.5,7.759e+04,2.464e+03,2.738e+03,8.279e+04
117.1,8.196e+04,2.521e+03,2.144e+03,8.663e+04
118.6,8.927e+04,2.552e+03,1.813e+03,9.364e+04
120.2,1.007e+05,2.611e+03,1.660e+03,1.050e+05
121.7,1.220e+05,2.988e+03,1.557e+03,1.265e+05
123.3,1.377e+05,3.167e+03,1.694e+03,1.426e+05
124.9,1.540e+05,2.399e+03,2.623e+03,1.591e+05
126.4,2.419e+05,3.120e+03,3.176e+03,2.482e+05
128.0,3.242e+05,3.715e+03,3.695e+03,3.316e+05
129.5,3.255e+05,3.200e+03,3.655e+03,3.323e+05
131.1,2.747e+05,2.399e+03,3.282e+03,2.803e+05
132.7,1.581e+05,1.236e+03,1.986e+03,1.613e+05
134.2,3.492e+04,2.656e+02,3.596e+02,3.554e+04
135.8,1.929e+04,1.742e+02,1.085e+02,1.957e+04
137.3,1.414e+04,1.681e+02,6.641e+01,1.437e+04
138.9,8.477e+03,1.423e+02,4.300e+01,8.662e+03
140.5,5.917e+03,1.314e+02,3.563e+01,6.084e+03
142.0,6.045e+03,1.489e+02,2.895e+01,6.222e+03
143.6,6.315e+03,1.732e+02,2.619e+01,6.514e+03
145.1,5.508e+03,1.919e+02,2.770e+01,5.728e+03
146.7,4.086e+03,2.279e+02,3.400e+01,4.348e+03
148.3,2.705e+03,2.586e+02,4.068e+01,3.004e+03
149.8,2.050e+03,1.909e+02,4.660e+01,2.288e+03
151.4,1.413e+03,1.824e+02,5.167e+01,1.647e+03
153.0,1.095e+03,2.044e+02,6.778e+01,1.367e+03
154.5,8.564e+02,2.411e+02,6.372e+01,1.161e+03
156.1,9.438e+02,2.892e+02,4.514e+01,1.278e+03
157.6,8.784e+02,3.450e+02,4.019e+01,1.264e+03
159.2,6.301e+02,4.005e+02,4.313e+01,1.074e+03
160.8,5.024e+02,4.996e+02,3.850e+01,1.041e+03
162.3,4.464e+02,5.596e+02,3.858e+01,1.045e+03
163.9,3.862e+02,5.991e+02,5.214e+01,1.037e+03
165.4,3.520e+02,7.301e+02,8.115e+01,1.163e+03
167.0,3.043e+02,7.686e+02,9.719e+01,1.170e+03
168.6,2.302e+02,6.725e+02,9.010e+01,9.927e+02
170.1,1.681e+02,5.467e+02,7.830e+01,7.930e+02
171.7,1.262e+02,4.360e+02,6.661e+01,6.288e+02
173.2,8.857e+01,3.860e+02,5.879e+01,5.334e+02
174.8,7.139e+01,3.869e+02,6.029e+01,5.186e+02
176.4,7.131e+01,4.216e+02,7.054e+01,5.634e+02
177.9,6.639e+01,4.492e+02,7.148e+01,5.871e+02
179.5,7.136e+01,4.986e+02,7.338e+01,6.434e+02
181.0,7.366e+01,5.119e+02,7.079e+01,6.564e+02
182.6,6.084e+01,4.469e+02,6.775e+01,5.755e+02
184.2,5.241e+01,4.068e+02,6.379e+01,5.230e+02
185.7,4.557e+01,3.746e+02,6.133e+01,4.815e+02
187.3,3.489e+01,3.478e+02,5.387e+01,4.365e+02
188.9,3.037e+01,3.366e+02,5.353e+01,4.205e+02
190.4,3.190e+01,3.514e+02,5.423e+01,4.375e+02
192.0,3.619e+01,4.166e+02,5.609e+01,5.089e+02
193.5,4.478e+01,4.316e+02,5.684e+01,5.332e+02
195.1,4.187e+01,3.525e+02,4.449e+01,4.388e+02
196.7,5.805e+01,3.877e+02,5.201e+01,4.978e+02
198.2,1.150e+02,4.905e+02,6.450e+01,6.701e+02
199.8,2.280e+02,6.904e+02,8.471e+01,1.003e+03
