freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.763e+01,3.705e+02,2.867e+01,4.868e+02
1.6,6.095e+01,2.332e+02,2.938e+01,3.235e+02
3.1,1.706e+01,5.506e+01,1.850e+01,9.062e+01
4.7,1.777e+01,4.672e+02,1.986e+01,5.049e+02
6.2,1.724e+01,9.801e+02,1.910e+01,1.016e+03
7.8,1.710e+01,1.683e+03,1.894e+01,1.719e+03
9.3,1.929e+01,2.720e+03,1.990e+01,2.759e+03
10.9,2.316e+01,3.855e+03,1.809e+01,3.896e+03
12.5,2.738e+01,5.333e+03,1.886e+01,5.379e+03
14.0,3.674e+01,7.669e+03,2.373e+01,7.729e+03
15.6,9.162e+01,1.095e+04,2.508e+01,1.107e+04
17.1,1.626e+02,1.362e+04,2.426e+01,1.381e+04
18.7,2.154e+02,1.757e+04,2.489e+01,1.781e+04
20.2,2.820e+02,2.343e+04,3.121e+01,2.374e+04
21.8,3.286e+02,2.948e+04,4.757e+01,2.986e+04
23.4,3.989e+02,3.638e+04,8.763e+01,3.686e+04
24.9,3.861e+02,4.637e+04,1.808e+02,4.693e+04
26.5,3.851e+02,6.241e+04,3.944e+02,6.319e+04
28.0,4.043e+02,7.543e+04,6.933e+02,7.653e+04
29.6,4.945e+02,8.550e+04,1.079e+03,8.707e+04
31.2,1.215e+03,1.183e+05,2.168e+03,1.216e+05
32.7,3.467e+03,1.681e+05,4.187e+03,1.758e+05
34.3,6.734e+03,2.447e+05,8.137e+03,2.596e+05
35.8,1.490e+04,5.015e+05,2.069e+04,5.371e+05
37.4,2.954e+04,9.323e+05,4.336e+04,1.005e+06
38.9,4.371e+04,1.176e+06,6.301e+04,1.283e+06
40.5,5.112e+04,9.325e+05,6.041e+04,1.044e+06
42.1,5.733e+04,4.886e+05,4.045e+04,5.864e+05
43.6,5.552e+04,2.099e+05,2.364e+04,2.890e+05
45.2,5.693e+04,1.165e+05,1.768e+04,1.911e+05
46.7,6.805e+04,8.320e+04,1.607e+04,1.673e+05
48.3,6.796e+04,6.057e+04,1.493e+04,1.435e+05
49.8,7.656e+04,4.732e+04,1.571e+04,1.396e+05
51.4,1.113e+05,3.993e+04,1.788e+04,1.691e+05
53.0,1.692e+05,3.634e+04,2.109e+04,2.266e+05
54.5,2.244e+05,3.664e+04,2.142e+04,2.825e+05
56.1,2.194e+05,3.805e+04,1.835e+04,2.758e+05
57.6,1.532e+05,3.364e+04,1.359e+04,2.004e+05
59.2,8.693e+04,2.415e+04,7.374e+03,1.185e+05
60.7,8.989e+04,2.489e+04,5.860e+03,1.206e+05
62.3,1.795e+05,4.313e+04,7.867e+03,2.305e+05
63.9,2.753e+05,6.264e+04,1.039e+04,3.484e+05
65.4,2.766e+05,6.514e+04,1.134e+04,3.531e+05
67.0,2.266e+05,5.870e+04,1.142e+04,2.967e+05
68.5,1.762e+05,5.124e+04,1.158e+04,2.390e+05
70.1,1.339e+05,4.338e+04,1.218e+04,1.895e+05
71.7,1.049e+05,3.461e+04,1.162e+04,1.511e+05
73.2,8.641e+04,2.805e+04,9.364e+03,1.238e+05
74.8,6.626e+04,2.242e+04,6.871e+03,9.555e+04
76.3,4.752e+04,1.808e+04,5.170e+03,7.077e+04
77.9,3.708e+04,1.536e+04,4.171e+03,5.661e+04
79.4,2.953e+04,1.385e+04,3.347e+03,4.673e+04
81.0,2.445e+04,1.328e+04,3.099e+03,4.082e+04
82.6,2.170e+04,1.273e+04,3.540e+03,3.797e+04
84.1,1.898e+04,1.244e+04,5.467e+03,3.688e+04
85.7,1.660e+04,1.113e+04,8.636e+03,3.637e+04
87.2,1.385e+04,8.783e+03,1.434e+04,3.697e+04
88.8,1.163e+04,9.866e+03,4.646e+04,6.796e+04
90.3,1.078e+04,1.131e+04,1.044e+05,1.265e+05
91.9,1.353e+04,8.272e+03,1.080e+05,1.298e+05
93.5,1.352e+04,5.643e+03,6.998e+04,8.915e+04
95.0,1.056e+04,4.529e+03,4.181e+04,5.690e+04
96.6,1.082e+04,4.050e+03,2.457e+04,3.943e+04
98.1,1.367e+04,3.967e+03,1.788e+04,3.552e+04
99.7,1.010e+04,5.398e+03,1.642e+04,3.192e+04
101.2,8.686e+03,5.314e+03,1.270e+04,2.670e+04
102.8,9.197e+03,5.119e+03,1.040e+04,2.471e+04
104.4,9.898e+03,4.912e+03,1.050e+04,2.531e+04
105.9,1.112e+04,4.786e+03,1.047e+04,2.638e+04
107.5,1.272e+04,4.811e+03,9.476e+03,2.701e+04
109.0,1.470e+04,4.846e+03,8.394e+03,2.794e+04
110.6,1.707e+04,4.812e+03,7.116e+03,2.900e+04
112.2,2.152e+04,5.000e+03,6.000e+03,3.252e+04
113.7,2.578e+04,5.297e+03,5.088e+03,3.616e+04
115.3,2.610e+04,5.521e+03,4.193e+03,3.581e+04
116.8,2.363e+04,5.746e+03,3.182e+03,3.255e+04
118.4,2.241e+04,6.692e+03,2.735e+03,3.183e+04
119.9,2.045e+04,7.462e+03,3.136e+03,3.104e+04
121.5,2.210e+04,7.597e+03,2.783e+03,3.248e+04
123.1,2.630e+04,7.390e+03,2.545e+03,3.623e+04
124.6,3.100e+04,6.958e+03,2.738e+03,4.069e+04
126.2,3.483e+04,6.500e+03,3.011e+03,4.434e+04
127.7,3.378e+04,5.909e+03,2.789e+03,4.247e+04
129.3,2.923e+04,5.633e+03,2.420e+03,3.729e+04
130.8,2.462e+04,5.487e+03,2.189e+03,3.229e+04
132.4,2.000e+04,3.945e+03,1.635e+03,2.558e+04
134.0,1.541e+04,9.826e+02,6.321e+02,1.703e+04
135.5,1.262e+04,3.074e+02,4.155e+02,1.334e+04
137.1,1.082e+04,2.826e+02,4.491e+02,1.155e+04
138.6,1.002e+04,2.980e+02,4.586e+02,1.078e+04
140.2,1.010e+04,3.346e+02,4.772e+02,1.092e+04
141.7,1.070e+04,3.543e+02,4.862e+02,1.154e+04
143.3,1.102e+04,3.821e+02,5.214e+02,1.193e+04
144.9,1.034e+04,5.130e+02,5.347e+02,1.139e+04
146.4,9.502e+03,7.624e+02,5.145e+02,1.078e+04
148.0,8.903e+03,9.861e+02,5.106e+02,1.040e+04
149.5,8.995e+03,1.042e+03,5.133e+02,1.055e+04
151.1,8.409e+03,1.143e+03,4.087e+02,9.960e+03
152.7,7.899e+03,1.198e+03,3.557e+02,9.452e+03
154.2,7.537e+03,1.399e+03,3.649e+02,9.300e+03
155.8,7.465e+03,1.526e+03,3.836e+02,9.375e+03
157.3,7.490e+03,1.643e+03,4.183e+02,9.550e+03
158.9,6.709e+03,1.490e+03,4.670e+02,8.667e+03
160.4,5.580e+03,1.251e+03,4.361e+02,7.268e+03
162.0,5.356e+03,9.688e+02,3.395e+02,6.665e+03
163.6,5.259e+03,9.175e+02,3.291e+02,6.506e+03
165.1,4.782e+03,9.914e+02,3.170e+02,6.090e+03
166.7,4.018e+03,9.076e+02,2.743e+02,5.199e+03
168.2,3.641e+03,9.104e+02,2.495e+02,4.801e+03
169.8,3.721e+03,1.100e+03,2.475e+02,5.069e+03
171.3,3.719e+03,1.211e+03,2.254e+02,5.156e+03
172.9,3.553e+03,1.143e+03,1.789e+02,4.876e+03
174.5,3.217e+03,1.007e+03,1.549e+02,4.379e+03
176.0,2.721e+03,1.302e+03,2.442e+02,4.267e+03
177.6,2.336e+03,2.156e+03,5.367e+02,5.029e+03
179.1,2.890e+03,1.720e+03,4.981e+02,5.107e+03
180.7,3.810e+03,1.621e+03,3.481e+02,5.780e+03
182.2,4.680e+03,2.139e+03,3.262e+02,7.145e+03
183.8,5.302e+03,2.646e+03,2.851e+02,8.233e+03
185.4,5.520e+03,3.021e+03,2.509e+02,8.792e+03
186.9,5.646e+03,3.345e+03,2.491e+02,9.240e+03
188.5,5.872e+03,3.891e+03,2.728e+02,1.004e+04
190.0,5.823e+03,4.053e+03,2.980e+02,1.017e+04
191.6,5.675e+03,3.968e+03,3.166e+02,9.960e+03
193.2,5.238e+03,4.284e+03,3.973e+02,9.919e+03
194.7,4.428e+03,3.949e+03,3.875e+02,8.764e+03
196.3,3.707e+03,2.655e+03,2.853e+02,6.648e+03
197.8,3.511e+03,2.235e+03,2.419e+02,5.988e+03
199.4,3.110e+03,2.171e+03,2.107e+02,5.492e+03
